event,t,origin_utc,n,status,g0,forcing_mean,u,r,b_net,mse_dual_fit_to_mean,mse_net_fit_to_mean,sigma2,mean_path_peak,S_plug,nu2_plug,S_hat,nu2_hat,NET,ASYM,n_train_events,delta_cv,lam,net_better,w
2020-10-29,66,2020-10-29 18:00:00,105,OK,0.1741800357806467,0.2468253968253968,2.7173876938210038e-21,0.0307707862233721,-0.299214072642626,8.144147627843456e-05,3.389547887346629e-05,0.0034583835492339,0.1607500964668508,0.0004029231488216,0.0015886298778975,0.0003934391448957,0.0015961441314276,0.004144392133151398,0.021921709155823248,15,-0.0022264222130496,3.6974024195152655,1.0,0.05
2020-10-29,72,2020-10-30 00:00:00,105,OK,0.1284648706915721,0.1583333333333333,0.0056808325247346,0.0283480430379216,0.3083295706761736,5.4606939111737685e-06,4.104627997995186e-06,0.0025143332739984,0.1226515648133416,3.296676657274113e-05,0.0028175989579811,7.478673242890221e-07,0.0028835114074772,0.0035120855432086316,0.00812321805735294,15,-0.0022264222130496,0.0038903989889708915,1.0,0.05
2020-10-29,78,2020-10-30 06:00:00,104,OK,0.113773705115425,0.0849358974358974,0.0127436806483934,0.0340618648347124,0.3596192590344242,6.549989523497148e-06,6.247002619340817e-06,0.002790705587575,0.1135422487227282,6.3926531380034684e-06,0.0018897986359159,-1.1527747625034102e-05,0.0019132182292973,0.0024803046666161586,0.00428181349335836,15,-0.0022264222130496,0.0,1.0,0.05
2020-10-29,84,2020-10-30 12:00:00,104,OK,0.1052042183410097,0.0432692307692307,5.330472863658659e-21,0.0245189307061523,-0.3145479665709224,9.578303784930224e-06,7.053772210000145e-06,0.0025970163387434,0.1059893233449245,0.0001355104364831,0.0006762955473642,0.000143749898728,0.0007629778047683,0.00262879482036901,0.004582944731482267,15,-0.0022264222130496,2.826095945968974,1.0,0.05
2020-10-29,90,2020-10-30 18:00:00,112,OK,0.0870859718733476,0.003720238095238,2.753721676833916e-20,0.0243241857457067,-0.3471010563776612,1.6862828333245944e-05,9.398991988399564e-06,0.0012683821449435,0.0851006364850993,6.217531410545458e-05,0.0004576964648803,6.286839655144523e-05,0.0004882539266491,0.0014577305374747483,0.001699309993069076,15,-0.0022264222130496,1.931425221182943,1.0,0.05
2020-10-29,96,2020-10-31 00:00:00,112,OK,0.0692792652454332,0.0,0.05,0.016796475977639,0.5559642597633865,4.030486346803846e-06,3.0263550550377405e-06,0.0005511284630542,0.0647177364606757,2.0566560757971168e-05,0.0013547161866277,1.5808306199690658e-06,0.0013158153056131,0.000673228765504986,0.0006505183285080534,15,-0.0022264222130496,0.0180211152723195,0.0,0.05
2020-10-29,102,2020-10-31 06:00:00,112,OK,0.0628490293044438,0.0,0.02,0.0190932681826857,0.89383171026244,4.179117163449019e-06,1.5611752048800395e-06,0.0004209307856605,0.0614022116215353,6.646098523722504e-05,0.001684785860787,4.9566457790894513e-05,0.0016778203799803,0.0004140776558883842,0.0006453580133532938,15,-0.0022264222130496,0.44313257589119726,1.0,0.05
2020-10-29,108,2020-10-31 12:00:00,110,OK,0.0603342058162565,0.0015151515151515,0.1285079207007617,0.0228450793147453,-0.4553741444008388,3.2511080803284575e-06,2.2171310505389634e-06,0.0006789907287852,0.0595270067859071,3.1035988699435795e-05,0.0006648842021047,3.184756440370217e-05,0.0007200820623279,0.0005659051027095891,0.0008293600779366725,15,-0.0022264222130496,0.6634153120148112,1.0,0.05
2020-10-29,114,2020-10-31 18:00:00,109,OK,0.0533896713718281,0.0451070336391437,0.0042014831962833,0.0207686878712826,-0.456712719914186,5.169636496364008e-06,3.684133077418272e-06,0.0004462498535669,0.0530929759198532,0.0001115945879481,0.000497361308679,0.0001131103707922,0.0005209061188869,0.00045190681563066004,0.0005833332228327378,15,-0.0022264222130496,3.257123501464149,1.0,0.05
2020-10-29,120,2020-11-01 00:00:00,109,OK,0.0431757254715617,0.1039755351681957,4.247019008922051e-13,0.0113148060105192,1.7629454993713318,1.851853808606823e-06,9.429144239545348e-07,0.0001879658522177,0.0421688852963832,4.991978177064475e-06,0.0002153464243548,3.4001305908343512e-06,0.0002127568832565,0.0003871707117401707,0.0006129785910645838,15,-0.0022264222130496,0.23971943037456153,1.0,0.05
