event,t,origin_utc,n,status,g0,forcing_mean,u,r,b_net,mse_dual_fit_to_mean,mse_net_fit_to_mean,sigma2,mean_path_peak,S_plug,nu2_plug,S_hat,nu2_hat
2019-02-24,108,2019-02-26 12:00:00,277,OK,0.011028289882220963,0.027978339350180504,5.0233630324268015e-11,0.05578104827649769,19.999999391856107,1.7257802329154268e-06,5.981453113443018e-07,0.00010999038591612974,0.011849301436686418,3.0200355733785225e-05,0.0008118054082691056,2.7343828127607293e-05,0.0008300942455266955
2019-02-24,114,2019-02-26 18:00:00,277,OK,0.010114190925656803,0.03459687123947052,0.006114824847725645,0.11958276481740701,-5.4082333547732535,7.131202634642319e-08,5.2481358178780624e-08,8.334965839534659e-05,0.009118800477084708,4.686653443643502e-07,0.00012668459676226193,3.064917370342342e-07,0.0001383454852619393
2019-02-24,120,2019-02-27 00:00:00,277,OK,0.004955459970350764,0.0440734055354994,0.0030730607614497052,0.0851672148262646,19.999996416928123,1.7409182283220925e-07,1.5677866787934219e-07,4.277859109497309e-05,0.0041493537726112,5.00218538291233e-07,3.0336236450862086e-05,3.034935024053008e-07,2.5704431940501084e-05
2019-02-24,126,2019-02-27 06:00:00,286,OK,0.0028496812500331714,0.047348484848484855,0.006718083993275473,0.1843137712489113,19.999999999999996,2.4851273509072185e-07,1.9389740900183325e-07,4.725741039740724e-05,0.003261027311789753,5.061327350735411e-06,6.303788375779713e-05,4.693438808524608e-06,6.700357163200023e-05
2019-02-24,132,2019-02-27 12:00:00,282,OK,0.0028006175500021016,0.030141843971631204,7.775998768760349e-09,0.058667010759841536,19.99999999680861,1.8704835637519474e-07,1.427897599064283e-07,7.060070990321397e-06,0.00325818750498347,3.456010231629761e-06,3.8692086635779864e-05,3.3098052187603833e-06,3.848091701192042e-05
2019-02-24,138,2019-02-27 18:00:00,279,OK,0.002626187608916611,0.020459976105137393,8.871185863190602e-18,0.09137253165279162,-19.999999999999996,1.1648659222229949e-07,8.63161467735682e-08,8.253938611659774e-06,0.0024617629359283853,3.0228410545938466e-07,1.5955231013334342e-05,2.9231274275821513e-07,1.650967212094816e-05
2019-02-24,144,2019-02-28 00:00:00,257,OK,0.0010347137213820373,0.010538261997405965,2.1931209053946235e-08,0.02356600574994521,-19.969287176766503,1.4763691607202147e-08,1.3699190130299292e-08,4.821443926127752e-06,0.000973153203654112,1.9688814904581695e-08,2.2472534826516642e-05,-3.818032202129359e-08,2.2225046391070813e-05
2019-11-27,24,2019-11-26 00:00:00,133,OK,9.546279029660298e-05,0.018483709273182956,0.0024906295233880766,0.9999999999999976,-19.990466519849832,7.103575227006134e-08,7.10158147511677e-08,7.652451442313166e-06,0.000928638521677345,1.4181676968627905e-07,1.4131977332901609e-05,6.829241901111327e-08,1.8513361685611905e-05
2019-11-27,30,2019-11-26 06:00:00,133,OK,0.0001383667812634252,0.1118421052631579,0.0009388831924134885,0.9982236989868281,-19.93202423235089,7.582514294760035e-08,7.580012614767273e-08,8.553253150354131e-06,0.000928638521677345,1.335666348326482e-08,4.730906300949048e-06,-2.6832943938543526e-08,1.4560032775839949e-05
2019-11-27,36,2019-11-26 12:00:00,143,OK,3.5933445079611285e-05,0.305944055944056,0.0005588828130165624,1.6736433698128586e-11,16.526343003437127,8.371276621715151e-07,8.263955516216299e-07,0.00016314111822345867,0.006412273088421848,1.8476338413483073e-06,0.0002678352129337316,-3.8137071020128697e-07,0.0002182958381236152
