event,population,model,seed,untrained_path_mse
2019-11-27,unaffected,NET,9205,1.3486596275126818e-06
2021-05-04,all,NET,9205,0.001107706620817005
2021-05-04,affected,NET,9205,0.0015016446556283273
2021-05-04,unaffected,NET,9205,1.1391073020553609e-06
2022-01-16,all,NET,9205,0.00020651736975234837
2022-01-16,affected,NET,9205,0.00045693177652268073
2022-01-16,unaffected,NET,9205,8.578782345860248e-07
2022-06-08,all,NET,9205,0.000595168894545518
2022-06-08,affected,NET,9205,0.0009713259944941115
2022-06-08,unaffected,NET,9205,9.497076702037894e-07
2024-06-26,all,NET,9205,0.0004121226420579147
2024-06-26,affected,NET,9205,0.0005822132914763535
2024-06-26,unaffected,NET,9205,1.4159519987575503e-06
2019-11-27,all,ASYM,9201,0.00012708011863125384
2019-11-27,affected,ASYM,9201,0.00021603814176487143
2019-11-27,unaffected,ASYM,9201,1.6264962633315957e-06
2021-05-04,all,ASYM,9201,0.0010715508176708638
2021-05-04,affected,ASYM,9201,0.0014525160625650723
2021-05-04,unaffected,ASYM,9201,1.423725271401746e-06
2022-01-16,all,ASYM,9201,0.00020100031917799928
2022-01-16,affected,ASYM,9201,0.00044433974322058184
2022-01-16,unaffected,ASYM,9201,1.1513453898357118e-06
2022-06-08,all,ASYM,9201,0.0005775861045048026
2022-06-08,affected,ASYM,9201,0.000942415742194088
2022-06-08,unaffected,ASYM,9201,1.261024676801109e-06
2024-06-26,all,ASYM,9201,0.0003988935515015898
2024-06-26,affected,ASYM,9201,0.0005633739169952944
2024-06-26,unaffected,ASYM,9201,1.7336445777664317e-06
2019-11-27,all,ASYM,9202,0.0001270811168961116
2019-11-27,affected,ASYM,9202,0.00021603988899625046
2019-11-27,unaffected,ASYM,9202,1.6264382933516228e-06
2021-05-04,all,ASYM,9202,0.0010715745993916343
2021-05-04,affected,ASYM,9202,0.001452548342052788
2021-05-04,unaffected,ASYM,9202,1.4236368603035018e-06
2022-01-16,all,ASYM,9202,0.00020100316516001232
2022-01-16,affected,ASYM,9202,0.00044434620692677685
2022-01-16,unaffected,ASYM,9202,1.1512202196482975e-06
2022-06-08,all,ASYM,9202,0.000577591416445073
2022-06-08,affected,ASYM,9202,0.0009424243743558616
2022-06-08,unaffected,ASYM,9202,1.2610916294794542e-06
2024-06-26,all,ASYM,9202,0.0003989006422882104
2024-06-26,affected,ASYM,9202,0.0005633839089202043
2024-06-26,unaffected,ASYM,9202,1.733730176810712e-06
2019-11-27,all,ASYM,9203,0.00012708405241493556
2019-11-27,affected,ASYM,9203,0.00021604474726844678
2019-11-27,unaffected,ASYM,9203,1.6266622369068788e-06
2021-05-04,all,ASYM,9203,0.001071600187492202
2021-05-04,affected,ASYM,9203,0.0014525828791885256
2021-05-04,unaffected,ASYM,9203,1.4240872216300313e-06
2022-01-16,all,ASYM,9203,0.00020100625151452597
2022-01-16,affected,ASYM,9203,0.00044435293839679784
2022-01-16,unaffected,ASYM,9203,1.1513129261068972e-06
2022-06-08,all,ASYM,9203,0.000577595846866634
2022-06-08,affected,ASYM,9203,0.0009424313660604093
2022-06-08,unaffected,ASYM,9203,1.261475966322542e-06
2024-06-26,all,ASYM,9203,0.00039890734344157145
2024-06-26,affected,ASYM,9203,0.0005633931781656001
2024-06-26,unaffected,ASYM,9203,1.7342303274532006e-06
2019-11-27,all,ASYM,9204,0.0001270824057238482
2019-11-27,affected,ASYM,9204,0.00021604212351639986
2019-11-27,unaffected,ASYM,9204,1.6263934523010099e-06
2021-05-04,all,ASYM,9204,0.001071580245711793
2021-05-04,affected,ASYM,9204,0.001452555886594486
2021-05-04,unaffected,ASYM,9204,1.4239510974867642e-06
2022-01-16,all,ASYM,9204,0.00020100397160738398
2022-01-16,affected,ASYM,9204,0.000444347995365701
2022-01-16,unaffected,ASYM,9204,1.1512201803406707e-06
2022-06-08,all,ASYM,9204,0.0005775966909178574
2022-06-08,affected,ASYM,9204,0.0009424327896720406
2022-06-08,unaffected,ASYM,9204,1.2614044800899518e-06
2024-06-26,all,ASYM,9204,0.00039890562911407856
2024-06-26,affected,ASYM,9204,0.0005633907494695452
2024-06-26,unaffected,ASYM,9204,1.734240938683539e-06
2019-11-27,all,ASYM,9205,0.00012708102800391136
2019-11-27,affected,ASYM,9205,0.000216039705987341
2019-11-27,unaffected,ASYM,9205,1.6264821298439289e-06
2021-05-04,all,ASYM,9205,0.0010715947370480926
2021-05-04,affected,ASYM,9205,0.0014525755755025998
2021-05-04,unaffected,ASYM,9205,1.4238425129606468e-06
2022-01-16,all,ASYM,9205,0.00020100316656401364
2022-01-16,affected,ASYM,9205,0.00044434630214243345
