event,fold,type,type_group,population,n_windows,n_counties,NET_path_mse,ASYM_path_mse,PERSISTENCE_path_mse,NET_path_rmse,ASYM_path_rmse,PERSISTENCE_path_rmse,delta_rmse_seed_mean,seeds_delta_rmse_positive,delta_rmse_1h,delta_rmse_6h,delta_rmse_24h,delta_seed_mean,delta_seed_sd,seeds_delta_positive,delta_mse_1h,delta_mse_6h,delta_mse_24h,NET_mean_signed_error,ASYM_mean_signed_error,PERSISTENCE_mean_signed_error,NET_oob_fraction,delta_untrained_seed_mean
2021-06-21,3,convective,convective_flood,all,5098,255,0.0004225110011121948,0.00032484927659050245,0.00046837154099637886,0.02054519110941088,0.018022523209094296,0.02164189319344264,0.0025226679003165844,5,-0.00017951078723649587,0.0006545949121095216,0.006430873862298472,9.766172452169229e-05,2.5231424998571833e-05,5,-2.3584410296799775e-06,2.064091170762507e-05,0.00025989014612793645,0.004587928957098697,-0.0008008396226000002,9.978490899390366e-05,0.27911083848038254,1.255361296277894e-05
2021-06-21,3,convective,convective_flood,unaffected,1271,65,0.00017691447078578494,4.714081855708117e-06,1.132156385210047e-06,0.01320373538000828,0.002018872078307389,0.001064028376130095,0.01118486330170089,5,0.0009812712053177109,0.0060815781049059665,0.016532387991603874,0.00017220038893007682,4.6670029701865674e-05,5,2.1727202239384906e-06,5.131114074310689e-05,0.00038704947062906614,0.0056086222374985475,0.00041393631291137867,-1.1551218423109388e-05,0.3026187902511432,5.055739721986914e-08
2021-08-11,4,convective,convective_flood,affected,3369,187,0.001449760613901021,0.0014867585672375069,0.0015738655199828604,0.03806604697079356,0.03855603711251578,0.03967197398646632,-0.0004899901417222102,3,-0.0002446129978672818,-0.0005213339484183913,-0.0004606402444751606,-3.699795333648595e-05,9.190138652517143e-05,3,-5.6445995278204435e-06,-2.9162317583043698e-05,-4.7717419060155226e-05,-0.004334389197638934,-0.0016916231139260662,0.001044447676863009,0.36816237334124563,6.191066447567969e-05
2021-08-11,4,convective,convective_flood,all,4540,249,0.0011306054381589644,0.0011266845519988416,0.0011822975756881117,0.0336159258902042,0.033563639638004,0.03438455431859066,5.228625220019684e-05,3,-0.00018718598227791572,-0.000245283860321318,0.0003233518617131462,3.920886160122894e-06,6.842639342371561e-05,3,-3.7592907471438136e-06,-1.1915698363249862e-05,3.095544361461453e-05,-0.0028374740741508543,-0.0007635009284406693,0.0007770290896359276,0.3908491696059032,4.666297925810235e-05
2021-08-11,4,convective,convective_flood,unaffected,1171,62,0.0001679922468079239,4.065486087577082e-05,1.2781307991104784e-06,0.012893919426229217,0.005702118931112286,0.0011305444702047233,0.007191800495116932,5,0.0007719123414932491,0.0040071617227334655,0.010488773818293662,0.0001273373859321531,6.619153624782249e-05,5,1.927043801026038e-06,4.0102330573870046e-05,0.00026824294877883894,0.0016774150886277078,0.00203583534068464,-2.953987506510746e-05,0.45927547446866085,6.739931986355474e-07
2021-12-11,0,convective,convective_flood,affected,3344,178,0.0008870971496834405,0.0008804734382078988,0.0011263614212691194,0.029773865336879413,0.02967214589131053,0.03356130839626369,0.0001017194455688833,2,-0.00014107804715796473,-0.0003157635855951593,0.0014624019088615061,6.623711475541634e-06,5.764209851884366e-05,2,-3.577858596198936e-06,-1.6479970871866597e-05,0.00010912815914981356,-0.005688412047016105,-0.0026497867180527773,-1.1425945488898752e-06,0.5457782414465177,3.368816077634843e-05
2021-12-11,0,convective,convective_flood,all,4611,247,0.0006774574462929709,0.0006381039710204218,0.0008120337892291832,0.02602115707275441,0.02526029254792871,0.028496206576124887,0.0007608645248256974,5,-8.190285524053119e-05,9.296148041319716e-05,0.0021397469469415253,3.935347527254905e-05,3.8744715583709055e-05,5,-1.766853999389512e-06,4.14979218920096e-06,0.00013699687595320674,-0.004688694586490178,-0.0016633631810118008,2.2766749809152047e-06,0.5704221758879902,2.4339550736067602e-05
2021-12-11,0,convective,convective_flood,unaffected,1267,69,0.00013664777667697658,1.2860997696205273e-05,1.1596080247103212e-06,0.011656123239938438,0.003497761476572576,0.001076850976092013,0.008158361763365863,5,0.0011923260577149282,0.006301178584098055,0.00981363244385186,0.0001237867789807713,2.6450691082346354e-05,5,2.9050129315101986e-06,5.736860124528862e-05,0.00020889008741703286,-0.002109713311510248,0.0008813236246881107,1.1097399275195001e-05,0.6339963835775856,2.2284657418390028e-07
2021-12-15,0,wind,wind_tropical,affected,1000,49,0.0014135610350000669,0.0014045956913224338,0.001793250564521236,0.03758607160180685,0.03747282763243222,0.04234678930593483,0.00011324396937463372,3,-0.0014914558741843948,-0.0012219287765860717,0.0028655087358927882,8.96534367763285e-06,0.00010952019713056852,3,-5.105885049151834e-05,-8.42942011804894e-05,0.0002587531673305517,-0.006191439816324177,-0.0039914692039129075,8.866145771422776e-05,0.5072339650145772,5.4289405736516374e-05
2021-12-15,0,wind,wind_tropical,all,1405,69,0.0011076249336382364,0.0009977798303352245,0.0012737820455928652,0.033254987765729174,0.03158337709097701,0.035690083294843473,0.0016716106747521517,4,-0.0012164145855535745,-0.00047918676571840555,0.005181900081660308,0.00010984510330301171,0.00011419138347379374,4,-3.519198341834666e-05,-2.8364366087975748e-05,0.00041053325523781464,-0.005528122889316327,-0.0028174887636424335,6.912475225414047e-05,0.5317788720570472,3.8875061498811316e-05
