event,population,model,seed,lead_h,mse
2018-01-16,affected,NET,9202,23,0.0003425703079054645
2018-01-16,affected,NET,9202,24,0.00037944451333881134
2018-01-16,affected,NET,9203,1,8.452690822474251e-05
2018-01-16,affected,NET,9203,2,0.00013619956203646374
2018-01-16,affected,NET,9203,3,0.0001332556045427302
2018-01-16,affected,NET,9203,4,0.00016952913578301574
2018-01-16,affected,NET,9203,5,0.00019735662073503768
2018-01-16,affected,NET,9203,6,0.00024508792107882465
2018-01-16,affected,NET,9203,7,0.0002840293943397874
2018-01-16,affected,NET,9203,8,0.00028235293418884866
2018-01-16,affected,NET,9203,9,0.000288495499539325
2018-01-16,affected,NET,9203,10,0.0002751792362170032
2018-01-16,affected,NET,9203,11,0.00027640914766880126
2018-01-16,affected,NET,9203,12,0.000299949497528683
2018-01-16,affected,NET,9203,13,0.00036830544957848423
2018-01-16,affected,NET,9203,14,0.00035889270157384734
2018-01-16,affected,NET,9203,15,0.0003519076506149994
2018-01-16,affected,NET,9203,16,0.00034848199339134345
2018-01-16,affected,NET,9203,17,0.0003757716537973643
2018-01-16,affected,NET,9203,18,0.0003943753646705093
2018-01-16,affected,NET,9203,19,0.0004932229258504541
2018-01-16,affected,NET,9203,20,0.0004890758849910201
2018-01-16,affected,NET,9203,21,0.00045925818983233967
2018-01-16,affected,NET,9203,22,0.00041593752624462016
2018-01-16,affected,NET,9203,23,0.00042850766713300065
2018-01-16,affected,NET,9203,24,0.0004480068220363954
2018-01-16,affected,NET,9204,1,8.540595187277819e-05
2018-01-16,affected,NET,9204,2,0.000135478498109898
2018-01-16,affected,NET,9204,3,0.00012860099427674835
2018-01-16,affected,NET,9204,4,0.0001590527379019675
2018-01-16,affected,NET,9204,5,0.0001841991976381951
2018-01-16,affected,NET,9204,6,0.00023002528613269186
2018-01-16,affected,NET,9204,7,0.0002726671751035228
2018-01-16,affected,NET,9204,8,0.0002595694109549429
2018-01-16,affected,NET,9204,9,0.00025561579324914367
2018-01-16,affected,NET,9204,10,0.00021907949962013124
2018-01-16,affected,NET,9204,11,0.00021516116639291088
2018-01-16,affected,NET,9204,12,0.0002350384688717271
2018-01-16,affected,NET,9204,13,0.00033568228512439953
2018-01-16,affected,NET,9204,14,0.0003084694269251272
2018-01-16,affected,NET,9204,15,0.00029196716011857407
2018-01-16,affected,NET,9204,16,0.00026039896457452036
2018-01-16,affected,NET,9204,17,0.00028727797264575523
2018-01-16,affected,NET,9204,18,0.0003168363094536513
2018-01-16,affected,NET,9204,19,0.0004975235953055821
2018-01-16,affected,NET,9204,20,0.0004790973031708011
2018-01-16,affected,NET,9204,21,0.00043293670171843393
2018-01-16,affected,NET,9204,22,0.0003410848030443233
2018-01-16,affected,NET,9204,23,0.0003496102618975902
2018-01-16,affected,NET,9204,24,0.0003897601160884464
2018-01-16,affected,NET,9205,1,8.488211486784823e-05
2018-01-16,affected,NET,9205,2,0.0001353444885228316
2018-01-16,affected,NET,9205,3,0.00012840957269353285
2018-01-16,affected,NET,9205,4,0.00015956422988664182
2018-01-16,affected,NET,9205,5,0.00018687937248583638
2018-01-16,affected,NET,9205,6,0.00022670614671164684
2018-01-16,affected,NET,9205,7,0.0002598302936282389
2018-01-16,affected,NET,9205,8,0.0002453828615942931
2018-01-16,affected,NET,9205,9,0.00023891129355958502
2018-01-16,affected,NET,9205,10,0.0002083398838761405
2018-01-16,affected,NET,9205,11,0.00020362107338985837
2018-01-16,affected,NET,9205,12,0.00021505093873263692
2018-01-16,affected,NET,9205,13,0.00028860100943829307
2018-01-16,affected,NET,9205,14,0.00026240665572546375
2018-01-16,affected,NET,9205,15,0.00024501609184471025
2018-01-16,affected,NET,9205,16,0.00021290111666753993
2018-01-16,affected,NET,9205,17,0.00023366702865820288
2018-01-16,affected,NET,9205,18,0.000240806993990161
2018-01-16,affected,NET,9205,19,0.00034667454484343626
2018-01-16,affected,NET,9205,20,0.0003191092532306305
2018-01-16,affected,NET,9205,21,0.0002769564628232425
2018-01-16,affected,NET,9205,22,0.00021412743210805593
2018-01-16,affected,NET,9205,23,0.000219992297785769
2018-01-16,affected,NET,9205,24,0.00023436287271132942
2018-01-16,affected,ASYM,9201,1,8.623049563259155e-05
2018-01-16,affected,ASYM,9201,2,0.00014056174019429628
2018-01-16,affected,ASYM,9201,3,0.00013531820275889016
2018-01-16,affected,ASYM,9201,4,0.00016936650619443953
2018-01-16,affected,ASYM,9201,5,0.00020011548420137743
2018-01-16,affected,ASYM,9201,6,0.00024375043995544216
2018-01-16,affected,ASYM,9201,7,0.0002845105982941777
2018-01-16,affected,ASYM,9201,8,0.00027049439909669414
2018-01-16,affected,ASYM,9201,9,0.00026565452364694215
2018-01-16,affected,ASYM,9201,10,0.00023021627355402903
2018-01-16,affected,ASYM,9201,11,0.00022299248913436892
2018-01-16,affected,ASYM,9201,12,0.00023535981584429358
2018-01-16,affected,ASYM,9201,13,0.00031512441820803365
2018-01-16,affected,ASYM,9201,14,0.00028188032837968155
2018-01-16,affected,ASYM,9201,15,0.00026173827515462296
2018-01-16,affected,ASYM,9201,16,0.0002274739990629476
2018-01-16,affected,ASYM,9201,17,0.00023941711618587146
2018-01-16,affected,ASYM,9201,18,0.0002518514164475919
2018-01-16,affected,ASYM,9201,19,0.0003526323292319843
2018-01-16,affected,ASYM,9201,20,0.00032436473134100436
2018-01-16,affected,ASYM,9201,21,0.0002760944337129766
2018-01-16,affected,ASYM,9201,22,0.0001993318912941293
2018-01-16,affected,ASYM,9201,23,0.00019521506859024936
2018-01-16,affected,ASYM,9201,24,0.0002084349434108741
2018-01-16,affected,ASYM,9202,1,8.624410988647782e-05
2018-01-16,affected,ASYM,9202,2,0.0001408629584119931
2018-01-16,affected,ASYM,9202,3,0.00013572414055835696
2018-01-16,affected,ASYM,9202,4,0.00017003261195819435
2018-01-16,affected,ASYM,9202,5,0.00020061121630321935
2018-01-16,affected,ASYM,9202,6,0.00024430886123987574
2018-01-16,affected,ASYM,9202,7,0.0002851150578728392
2018-01-16,affected,ASYM,9202,8,0.0002712679859755984
2018-01-16,affected,ASYM,9202,9,0.0002664908606036269
2018-01-16,affected,ASYM,9202,10,0.00023114853634823295
2018-01-16,affected,ASYM,9202,11,0.0002240946537861631
2018-01-16,affected,ASYM,9202,12,0.00023667742983719985
2018-01-16,affected,ASYM,9202,13,0.00031670402584045343
2018-01-16,affected,ASYM,9202,14,0.0002837587391392597
2018-01-16,affected,ASYM,9202,15,0.00026385721228618916
2018-01-16,affected,ASYM,9202,16,0.00022993151515727966
2018-01-16,affected,ASYM,9202,17,0.00024215789865047508
2018-01-16,affected,ASYM,9202,18,0.0002548808609841244
2018-01-16,affected,ASYM,9202,19,0.0003542281835608918
2018-01-16,affected,ASYM,9202,20,0.000326931340513147
2018-01-16,affected,ASYM,9202,21,0.00027884200653807066
2018-01-16,affected,ASYM,9202,22,0.0002024146103750196
2018-01-16,affected,ASYM,9202,23,0.00019864613856643306
2018-01-16,affected,ASYM,9202,24,0.00021184796336818894
2018-01-16,affected,ASYM,9203,1,8.630653942678247e-05
2018-01-16,affected,ASYM,9203,2,0.00014189877434215764
2018-01-16,affected,ASYM,9203,3,0.00013722639887325165
2018-01-16,affected,ASYM,9203,4,0.00017266018894892694
2018-01-16,affected,ASYM,9203,5,0.00020433515942340505
2018-01-16,affected,ASYM,9203,6,0.0002490919116681501
2018-01-16,affected,ASYM,9203,7,0.00029064122567844936
2018-01-16,affected,ASYM,9203,8,0.0002779178607410928
2018-01-16,affected,ASYM,9203,9,0.0002738631978645819
2018-01-16,affected,ASYM,9203,10,0.00023919081772908293
2018-01-16,affected,ASYM,9203,11,0.00023269380156484338
2018-01-16,affected,ASYM,9203,12,0.00024579873164125646
2018-01-16,affected,ASYM,9203,13,0.0003263271048962228
2018-01-16,affected,ASYM,9203,14,0.0002938210141869025
2018-01-16,affected,ASYM,9203,15,0.0002743150709288314
2018-01-16,affected,ASYM,9203,16,0.00024069291395023744
