event,fold,type,type_group,population,n_windows,n_counties,any_change,rise_and_fall,rise_only,fall_only
2022-07-23,4,convective,convective_flood,unaffected,817,42,0.3638361777459522,0.26505251223296333,0.05943529458567051,0.03934837092731829
2024-01-09,4,winter,winter,all,2520,120,0.5539682539682539,0.45595238095238094,0.042460317460317455,0.05555555555555555
2024-01-09,4,winter,winter,affected,2163,103,0.5788257050392973,0.47757743874248726,0.04299583911234396,0.05825242718446602
2024-01-09,4,winter,winter,unaffected,357,17,0.40336134453781514,0.3249299719887956,0.03921568627450981,0.0392156862745098
2024-01-12,4,winter,winter,all,5967,288,0.4541170634920635,0.3644179894179895,0.03021660052910053,0.05948247354497354
2024-01-12,4,winter,winter,affected,3951,192,0.5745287698412699,0.46205357142857145,0.035652281746031744,0.07682291666666667
2024-01-12,4,winter,winter,unaffected,2016,96,0.21329365079365079,0.16914682539682538,0.019345238095238092,0.024801587301587297
2024-05-08,0,convective,convective_flood,all,3481,166,0.46787148594377503,0.38927137119908206,0.03327596098680436,0.045324153757888695
2024-05-08,0,convective,convective_flood,affected,2478,118,0.5419693301049233,0.45238095238095244,0.03631961259079902,0.05326876513317191
2024-05-08,0,convective,convective_flood,unaffected,1003,48,0.28571428571428564,0.2341269841269841,0.02579365079365079,0.025793650793650796
2024-05-26,1,convective,convective_flood,all,4864,256,0.6603618421052632,0.5343338815789473,0.03762335526315789,0.0884046052631579
2024-05-26,1,convective,convective_flood,affected,3933,207,0.7396389524535977,0.5995423340961098,0.03813882532418001,0.10195779303330789
2024-05-26,1,convective,convective_flood,unaffected,931,49,0.32545649838882923,0.2588614393125671,0.03544575725026852,0.031149301825993552
2024-06-26,2,convective,convective_flood,all,2940,140,0.523469387755102,0.427891156462585,0.03843537414965986,0.057142857142857134
2024-06-26,2,convective,convective_flood,affected,2079,99,0.5959595959595958,0.49879749879749885,0.03367003367003367,0.06349206349206349
2024-06-26,2,convective,convective_flood,unaffected,861,41,0.34843205574912883,0.25667828106852497,0.04994192799070848,0.04181184668989546
2024-09-27,0,wind,wind_tropical,all,5658,270,0.7522045855379188,0.6312169312169312,0.032275132275132276,0.08871252204585538
2024-09-27,0,wind,wind_tropical,affected,5103,243,0.8056045463452871,0.6752890456594159,0.0340975896531452,0.09621791103272584
2024-09-27,0,wind,wind_tropical,unaffected,555,27,0.2716049382716049,0.2345679012345679,0.015873015873015872,0.021164021164021163
