job,stage,update,validation,selected,examples,gn_head_a,gn_head_b,gn_hold,gn_occ,gn_bkg,gn_rec,train_loss
2022-03-12|asym_one_flow|interruption_ray_start,B,3000,0.00045564335970125385,True,,8.943844671121414e-12,8.943844671121414e-12,0.0,1.1869648833563035e-11,6.556258345118111e-12,2.2418361218673118e-07,0.00022379208621714497
2022-03-12|asym_one_flow|interruption_ray_start,B,3200,0.00045619155844962253,False,,1.3254234390065966e-11,1.3254234390065966e-11,0.0,2.1963262148466115e-11,8.941411079952724e-12,1.2920257799427734e-07,0.0002999386688316008
2022-03-12|asym_one_flow|restoration_ray_start,A,0,0.00028214389026849326,True,,,,,,,,
2022-03-12|asym_one_flow|restoration_ray_start,A,200,0.000263421619996792,True,202432.0,2.927805580164152e-14,2.927805580164152e-14,0.0,4.6882545130701625e-14,3.4003928069129314e-14,6.400787733416647e-06,
2022-03-12|asym_one_flow|restoration_ray_start,A,400,0.0002547658258441508,True,405184.0,8.565471508053313e-15,8.565471508053313e-15,0.0,1.7612051573481163e-14,1.027882949483476e-14,1.561107467302181e-06,
2022-03-12|asym_one_flow|restoration_ray_start,A,600,0.0002442383969480062,True,607360.0,8.70262410748245e-15,8.70262410748245e-15,0.0,5.4406733467620645e-14,3.6737889077563775e-14,1.1791588127613348e-05,
2022-03-12|asym_one_flow|restoration_ray_start,A,800,0.00024824648878269106,False,809664.0,2.3982191619167426e-14,2.3982191619167426e-14,0.0,6.508221154829443e-14,2.8076697635538938e-14,4.520586027113655e-06,
2022-03-12|asym_one_flow|restoration_ray_start,A,1000,0.00023977888155116747,True,1011904.0,4.5430612054917966e-17,4.5430612054917966e-17,0.0,1.0156209314791963e-14,1.3129632713889781e-14,1.5302908443179158e-06,
2022-03-12|asym_one_flow|restoration_ray_start,A,1200,0.0002349950885096872,True,1214144.0,2.7232102636265007e-14,2.7232102636265007e-14,0.0,3.7655321191812795e-14,2.4720632873500465e-14,2.885658787181951e-06,
2022-03-12|asym_one_flow|restoration_ray_start,A,1400,0.0002300371188646609,True,1416640.0,2.0926840085655445e-14,2.0926840085655445e-14,0.0,8.797355949604503e-14,4.847109867739199e-14,6.231091083180397e-06,
2022-03-12|asym_one_flow|restoration_ray_start,A,1600,0.0002362630667040609,False,1618688.0,4.617465363647044e-15,4.617465363647044e-15,0.0,2.852944481840708e-14,1.53443270513484e-14,3.6080618827955573e-06,
2022-03-12|asym_one_flow|restoration_ray_start,B,200,0.0002077880692234268,True,,1.6585588136357378e-12,1.6585588136357378e-12,0.0,3.3535568621508174e-12,1.6079103301045414e-12,0.00027902040006221447,0.0003946405031456379
2022-03-12|asym_one_flow|restoration_ray_start,B,400,0.00020933375006963566,False,,7.124566113168647e-13,7.124566113168647e-13,0.0,1.0779658645350464e-12,7.052054853396809e-13,0.0005185223330049033,0.0004570512952284389
2022-03-12|asym_one_flow|restoration_ray_start,B,600,0.00022443354688971335,False,,6.631741204462388e-13,6.631741204462388e-13,0.0,9.84473288071048e-13,3.415007742313452e-13,6.160731739132364e-05,4.703691891450035e-05
2022-03-12|asym_one_flow|restoration_ray_start,B,800,0.00020203959803467546,True,,7.358389423071741e-14,7.358389423071741e-14,0.0,1.9071919279800656e-13,1.0556830243648712e-13,3.60495949038128e-05,4.4926478039997164e-05
