variant,model,seed,event,component,path_mse,mse_1h,mse_6h,mse_24h,oob_fraction,n_windows,n_counties
output_clip_01,ASYM,8201,2024-09-27,4,0.0063995996917807305,0.0004122540634396752,0.0037089483117079864,0.012058288099191657,0.0,5658,270
output_clip_01,ASYM,8202,2024-01-09,0,0.0007823729363441111,0.0001234359045327181,0.0005318868237425793,0.0012011362337949263,0.0,2520,120
output_clip_01,ASYM,8202,2024-01-12,0,0.00044649576029937737,5.294269760978989e-05,0.0003242232741079307,0.0005956450394792121,0.0,5967,288
output_clip_01,ASYM,8202,2024-05-08,1,0.0002566533000989348,0.0001118269637276135,0.00020017956753221375,0.00033681165582749595,0.0,3481,166
output_clip_01,ASYM,8202,2024-05-26,2,0.003500225953571676,0.00035590474758034364,0.0023703842891118917,0.005353669179728694,0.0,4864,256
output_clip_01,ASYM,8202,2024-06-26,3,0.0002641085415883074,8.03723239209367e-05,0.0002761249997704072,0.00044341066214867973,0.0,2940,140
output_clip_01,ASYM,8202,2024-09-27,4,0.008954663218581784,0.00044342101317502427,0.005105922135065849,0.016029476668902237,0.0,5658,270
output_clip_01,ASYM,8203,2024-01-09,0,0.0008765186496528746,0.00011535768452696746,0.0005583137174107606,0.0014052305521210064,0.0,2520,120
output_clip_01,ASYM,8203,2024-01-12,0,0.0004284930102948485,4.975446428965554e-05,0.00028237576092698816,0.0006770949169334512,0.0,5967,288
output_clip_01,ASYM,8203,2024-05-08,1,0.0002816717899696971,0.00011016679848024948,0.00019955655457352866,0.00036436370655996975,0.0,3481,166
output_clip_01,ASYM,8203,2024-05-26,2,0.0033237261660748027,0.0003515760454751747,0.0021824404249188405,0.005186241718143226,0.0,4864,256
output_clip_01,ASYM,8203,2024-06-26,3,0.00024384947343908923,8.202692696941814e-05,0.0002598976168299991,0.00040130984238095365,0.0,2940,140
output_clip_01,ASYM,8203,2024-09-27,4,0.007734952553311971,0.0004164811055711657,0.004278422293379198,0.01448600796610978,0.0,5658,270
output_clip_01,ASYM,8204,2024-01-09,0,0.0007718086484744731,0.00011737719899825769,0.0005601584323904773,0.001203198378188133,0.0,2520,120
output_clip_01,ASYM,8204,2024-01-12,0,0.000555377793453742,5.180301017450018e-05,0.00031600685716634053,0.000969079895267946,0.0,5967,288
output_clip_01,ASYM,8204,2024-05-08,1,0.0002784823826687242,0.00011032468492080556,0.00021480369450640622,0.0003674097056462293,0.0,3481,166
output_clip_01,ASYM,8204,2024-05-26,2,0.003081026057907224,0.00031557164408463107,0.0019884316272404425,0.004943781409424419,0.0,4864,256
output_clip_01,ASYM,8204,2024-06-26,3,0.00026672994973451233,9.130980184207001e-05,0.0002794499167296652,0.0004243075219148182,0.0,2940,140
output_clip_01,ASYM,8204,2024-09-27,4,0.00830181514847052,0.00043196929147947737,0.00441005889873386,0.01532607309824204,0.0,5658,270
output_clip_01,ASYM,8205,2024-01-09,0,0.0007783441893402386,0.00011534110138185386,0.000545675409147084,0.0012075907082776708,0.0,2520,120
output_clip_01,ASYM,8205,2024-01-12,0,0.0003956819556128164,4.974707149609837e-05,0.0002798597048351344,0.000578156390341451,0.0,5967,288
output_clip_01,ASYM,8205,2024-05-08,1,0.00028829111968709046,0.000110502295785349,0.00020729065141952675,0.0003950257839660013,0.0,3481,166
output_clip_01,ASYM,8205,2024-05-26,2,0.0032269754204845144,0.00032171474956963473,0.002087936124525568,0.005064015412719091,0.0,4864,256
output_clip_01,ASYM,8205,2024-06-26,3,0.00024848643369124277,8.104714545070405e-05,0.00026531518367789507,0.00040898427934895395,0.0,2940,140
output_clip_01,ASYM,8205,2024-09-27,4,0.008028622463954447,0.0004303395542827813,0.004413211210542972,0.014655061733360683,0.0,5658,270
