variant,model,seed,event,lead_h,mse
raw,NET,8203,2024-05-08,1,0.00029980152211400924
raw,NET,8203,2024-05-08,2,0.0003105623865266705
raw,NET,8203,2024-05-08,3,0.0004337918967445061
raw,NET,8203,2024-05-08,4,0.0005028566224764707
raw,NET,8203,2024-05-08,5,0.000561155586904527
raw,NET,8203,2024-05-08,6,0.000653159865971052
raw,NET,8203,2024-05-08,7,0.0007461053823176779
raw,NET,8203,2024-05-08,8,0.0006962322088647773
raw,NET,8203,2024-05-08,9,0.0006775556890433724
raw,NET,8203,2024-05-08,10,0.000576317716269524
raw,NET,8203,2024-05-08,11,0.00048051690713579113
raw,NET,8203,2024-05-08,12,0.0004652283249163515
raw,NET,8203,2024-05-08,13,0.00048652565721525425
raw,NET,8203,2024-05-08,14,0.00043623787260546826
raw,NET,8203,2024-05-08,15,0.00046945441378336023
raw,NET,8203,2024-05-08,16,0.0004639441887417703
raw,NET,8203,2024-05-08,17,0.0004615544423601018
raw,NET,8203,2024-05-08,18,0.0005123515291035538
raw,NET,8203,2024-05-08,19,0.0005680518902794777
raw,NET,8203,2024-05-08,20,0.0005321340351569863
raw,NET,8203,2024-05-08,21,0.0005641541855895207
raw,NET,8203,2024-05-08,22,0.0005451731540136777
raw,NET,8203,2024-05-08,23,0.0005612386681881095
raw,NET,8203,2024-05-08,24,0.0006108870753854954
raw,NET,8203,2024-05-26,1,0.0005299730856673092
raw,NET,8203,2024-05-26,2,0.0010723386712791479
raw,NET,8203,2024-05-26,3,0.001557972580942078
raw,NET,8203,2024-05-26,4,0.0020385593328301472
raw,NET,8203,2024-05-26,5,0.0024489867227602243
raw,NET,8203,2024-05-26,6,0.0026148352280540603
raw,NET,8203,2024-05-26,7,0.0026915759318801476
raw,NET,8203,2024-05-26,8,0.002965588279744079
raw,NET,8203,2024-05-26,9,0.003162142770957107
raw,NET,8203,2024-05-26,10,0.0034548871274998993
raw,NET,8203,2024-05-26,11,0.0036692566522653672
raw,NET,8203,2024-05-26,12,0.0036380550962038043
raw,NET,8203,2024-05-26,13,0.003624676843177558
raw,NET,8203,2024-05-26,14,0.003811779955863056
raw,NET,8203,2024-05-26,15,0.003979622770425587
raw,NET,8203,2024-05-26,16,0.004328703626640386
raw,NET,8203,2024-05-26,17,0.004620904454548809
raw,NET,8203,2024-05-26,18,0.004685963684489126
raw,NET,8203,2024-05-26,19,0.004666955929265613
raw,NET,8203,2024-05-26,20,0.004720889020219559
raw,NET,8203,2024-05-26,21,0.004886382340390851
raw,NET,8203,2024-05-26,22,0.005245674468938291
raw,NET,8203,2024-05-26,23,0.00553317474483899
raw,NET,8203,2024-05-26,24,0.0055833563010104946
raw,NET,8203,2024-06-26,1,0.00016122335193824642
raw,NET,8203,2024-06-26,2,0.0001627097154440709
raw,NET,8203,2024-06-26,3,0.0002070647637450587
raw,NET,8203,2024-06-26,4,0.00021109038427696755
raw,NET,8203,2024-06-26,5,0.0002922534331190186
raw,NET,8203,2024-06-26,6,0.0003775616098531494
raw,NET,8203,2024-06-26,7,0.0003011264542222563
raw,NET,8203,2024-06-26,8,0.00031541507919263014
raw,NET,8203,2024-06-26,9,0.00034089487420789055
raw,NET,8203,2024-06-26,10,0.0003184458284408545
raw,NET,8203,2024-06-26,11,0.00033147767807156537
raw,NET,8203,2024-06-26,12,0.00041619799139544375
raw,NET,8203,2024-06-26,13,0.00032637787095595366
raw,NET,8203,2024-06-26,14,0.000336113826875488
raw,NET,8203,2024-06-26,15,0.0003560518404447382
raw,NET,8203,2024-06-26,16,0.00033226073441995716
raw,NET,8203,2024-06-26,17,0.0003437625266902836
raw,NET,8203,2024-06-26,18,0.00043990596582488956
raw,NET,8203,2024-06-26,19,0.00034730458403259826
raw,NET,8203,2024-06-26,20,0.00036231709137611747
raw,NET,8203,2024-06-26,21,0.0003778329372542679
raw,NET,8203,2024-06-26,22,0.00039295841183242954
raw,NET,8203,2024-06-26,23,0.00045307366146589136
raw,NET,8203,2024-06-26,24,0.0005938077083062293
raw,NET,8203,2024-09-27,1,0.000761588223647212
raw,NET,8203,2024-09-27,2,0.0017626229744317197
raw,NET,8203,2024-09-27,3,0.0029327340418460507
raw,NET,8203,2024-09-27,4,0.003956108853844646
raw,NET,8203,2024-09-27,5,0.005230646818904504
raw,NET,8203,2024-09-27,6,0.00579993115749336
raw,NET,8203,2024-09-27,7,0.006377636982828785
raw,NET,8203,2024-09-27,8,0.007097284771347551
raw,NET,8203,2024-09-27,9,0.007963474114313146
raw,NET,8203,2024-09-27,10,0.008612664698021695
raw,NET,8203,2024-09-27,11,0.009444285755762998
raw,NET,8203,2024-09-27,12,0.009926893128668946
raw,NET,8203,2024-09-27,13,0.010256892419073887
raw,NET,8203,2024-09-27,14,0.010599505683626812
raw,NET,8203,2024-09-27,15,0.011345605375888291
raw,NET,8203,2024-09-27,16,0.011792229856715544
raw,NET,8203,2024-09-27,17,0.012783919062142574
raw,NET,8203,2024-09-27,18,0.013141746217642625
raw,NET,8203,2024-09-27,19,0.013443136195311676
raw,NET,8203,2024-09-27,20,0.01367401445737407
