variant,model,seed,group,company,mse_path,mse_1h,mse_6h,mse_24h,out_of_bounds_fraction
raw,ASYM,5103.0,46,2,0.00023982404874532166,0.00011948263677372962,0.00022858165739824231,0.0002689758056660228,0.0
raw,ASYM,5103.0,117,3,4.3875964581721337e-05,3.752306575684389e-05,4.430651194419267e-05,4.562896280012709e-05,0.0
raw,ASYM,5103.0,199,4,1.70098897212266e-05,1.414108627744255e-05,1.797033452144093e-05,1.7925047460332636e-05,0.0
raw,ASYM,5103.0,250,4,5.824759309783218e-06,3.1041981699737646e-06,6.577284240896195e-06,6.524638180373235e-06,0.0
raw,ASYM,5103.0,492,7,0.0011997639145593984,0.0008240673197566393,0.001230728846880997,0.0012384196293560947,0.0
raw,ASYM,5103.0,1087,22,3.676687779623131e-05,2.8630794136971252e-05,3.7933540180743835e-05,3.74405019614137e-05,0.0
raw,ASYM,5103.0,1113,22,4.8392559659391855e-05,4.071670904475254e-05,4.9446211546497124e-05,4.558957937736099e-05,0.0
raw,ASYM,5103.0,1219,23,1.0142043265471074e-05,7.114329635774295e-06,1.003254143032278e-05,1.0644845677090123e-05,0.0
raw,ASYM,5103.0,1231,23,2.5259462351857134e-05,1.3333888574789377e-05,2.594883659743965e-05,2.7257117047981232e-05,0.0
raw,ASYM,5103.0,1319,25,0.0006100036353675162,0.0003953250013183609,0.0006032340623986768,0.0006369180482272447,0.0
raw,ASYM,5103.0,1348,25,0.00032174411363887517,0.0002831871274365639,0.00032400456283330733,0.0003232663351569557,0.0
raw,ASYM,5103.0,1389,26,5.2137630324915587e-05,2.7593877461779646e-05,5.094246400470214e-05,5.787258885286309e-05,0.0
raw,ASYM,5103.0,1498,27,0.00010289375791420547,4.610754552519653e-05,9.544176965763616e-05,0.000118735945575289,0.0
raw,ASYM,5103.0,1603,28,2.3097355562842054e-05,1.1119550867234847e-05,2.1905332922540926e-05,2.6439970961285727e-05,0.0
