variant,seed,group,company,NET_mse_path,NET_mse_1h,NET_mse_6h,NET_mse_24h,NET_out_of_bounds_fraction,ASYM_mse_path,ASYM_mse_1h,ASYM_mse_6h,ASYM_mse_24h,ASYM_out_of_bounds_fraction,delta_mse_path,delta_mse_1h,delta_mse_6h,delta_mse_24h,delta_out_of_bounds_fraction
raw,5103.0,1319,25,0.0006067969850336548,0.0003813399807136159,0.0006009360333207224,0.0006325955645744147,0.0018346915527514896,0.0006100036353675162,0.0003953250013183609,0.0006032340623986768,0.0006369180482272447,0.0,-3.206650333861371e-06,-1.3985020604745011e-05,-2.298029077954424e-06,-4.322483652829988e-06,0.0018346915527514896
raw,5103.0,1348,25,0.00032334741371690295,0.00027202559260136334,0.00032767316611885425,0.00032467109296947116,0.004030844724851034,0.00032174411363887517,0.0002831871274365639,0.00032400456283330733,0.0003232663351569557,0.0,1.6033000780277793e-06,-1.1161534835200579e-05,3.668603285546918e-06,1.4047578125154733e-06,0.004030844724851034
raw,5103.0,1389,26,5.219189724534841e-05,2.703583768312632e-05,5.045093689564908e-05,5.620589533601852e-05,0.0027657290571328425,5.2137630324915587e-05,2.7593877461779646e-05,5.094246400470214e-05,5.787258885286309e-05,0.0,5.426692043282189e-08,-5.580397786533263e-07,-4.915271090530601e-07,-1.6666935168445658e-06,0.0027657290571328425
raw,5103.0,1498,27,0.00010403256688000528,4.6260791343327944e-05,9.646350135771435e-05,0.00011931616735336479,0.03803562039957939,0.00010289375791420547,4.610754552519653e-05,9.544176965763616e-05,0.000118735945575289,0.0,1.1388089657998128e-06,1.5324581813141086e-07,1.021731700078188e-06,5.802217780757874e-07,0.03803562039957939
raw,5103.0,1603,28,2.3646301413599978e-05,1.1497858245834605e-05,2.1801061629665852e-05,2.6922485083151152e-05,0.039339072905713285,2.3097355562842054e-05,1.1119550867234847e-05,2.1905332922540926e-05,2.6439970961285727e-05,0.0,5.489458507579243e-07,3.783073785997583e-07,-1.0427129287507444e-07,4.825141218654245e-07,0.039339072905713285
raw,5103.0,1635,28,3.282617984508138e-05,1.911656223542568e-05,2.9714309784535728e-05,3.7219582510362134e-05,0.03963481423063442,3.172178644759452e-05,1.8728848637909715e-05,2.9232374077607514e-05,3.615235217308864e-05,0.0,1.1043933974868631e-06,3.8771359751596567e-07,4.819357069282144e-07,1.0672303372734942e-06,0.03963481423063442
raw,5103.0,1926,36,0.0001317471909181655,6.156933250074502e-05,0.0001300605324420138,0.00014289302153685485,0.0009365141955835962,0.00013293415594450058,6.268297547260792e-05,0.00013295140578478912,0.00014547865898695,0.0,-1.1869650263350725e-06,-1.1136429718629004e-06,-2.890873342775317e-06,-2.58563745009514e-06,0.0009365141955835962
raw,5103.0,1962,37,1.8415497495178407e-05,1.5152809455664841e-05,1.9728514817077296e-05,1.6165731140651974e-05,0.034645548545390814,1.810350481739548e-05,1.5569359228984998e-05,2.017030410005848e-05,1.631920572499415e-05,0.0,3.1199267778292796e-07,-4.165497733201566e-07,-4.417892829811848e-07,-1.534745843421755e-07,0.034645548545390814
raw,5103.0,2001,37,0.00010814924567385704,0.0001178783421192192,0.00010643665764146996,0.00010831630431904277,0.03901594812478093,0.00010715438814173545,0.00010695151465798286,0.00010658553298271961,0.00010858187273001515,0.0,9.9485753212159e-07,1.092682746123634e-05,-1.4887534124965172e-07,-2.65568410972382e-07,0.03901594812478093
raw,5103.0,2055,38,0.00023696865627779217,0.0002282214935623894,0.00023293897700312066,0.00024365938873823273,0.0023111636873466524,0.00023853187233687268,0.00022271698803705877,0.00023596488845524643,0.000245726122744558,0.0,-1.56321605908051e-06,5.504505525330615e-06,-3.025911452125775e-06,-2.0667340063252606e-06,0.0023111636873466524
raw,5103.0,2075,38,7.512544956649885e-05,5.570346564684482e-05,7.42395416698507e-05,7.898600635421799e-05,0.0040417981072555205,7.541269035495082e-05,5.424862121424647e-05,7.54760780505422e-05,7.903733145493511e-05,0.0,-2.87240788451968e-07,1.454844432598346e-06,-1.2365363806915035e-06,-5.1325100717115706e-08,0.0040417981072555205
raw,5103.0,2242,41,5.0778467254828356e-05,2.9644092553308367e-05,4.912158306807197e-05,5.530773932922688e-05,0.039591000701016475,5.116614412551783e-05,3.0215382528944628e-05,5.058395379243611e-05,5.555948683728252e-05,0.0,-3.8767687068947705e-07,-5.712899756362612e-07,-1.4623707243641376e-06,-2.5174750805563866e-07,0.039591000701016475
raw,5103.0,2512,42,0.00011842888546920074,8.210412409062281e-05,0.0001209362797814217,0.00011701487439904165,0.009584209603925692,0.0001178305517044619,8.466841742823108e-05,0.00012081881519269942,0.00011648905584179506,0.0,5.983337647388388e-07,-2.5642933376082705e-06,1.174645887222828e-07,5.258185572465878e-07,0.009584209603925692
raw,5103.0,2543,43,4.760857227151609e-05,3.596909648109785e-05,4.830809361697561e-05,4.749733545605422e-05,0.08877168769716089,4.701499124574574e-05,3.67022970317978e-05,4.793553175396614e-05,4.697630072058059e-05,0.0,5.935810257703559e-07,-7.332005506999496e-07,3.725618630094697e-07,5.210347354736296e-07,0.08877168769716089
raw,5104.0,42,2,0.00018443254399524962,0.00012633652901694123,0.0001804277264017544,0.00019913293109398878,0.00036146161934805465,0.0001872867219591052,0.00013528930579122985,0.00018504652141815514,0.000201300405712575,0.0,-2.85417796385559e-06,-8.952776774288614e-06,-4.618795016400737e-06,-2.167474618586235e-06,0.00036146161934805465
raw,5104.0,46,2,0.00022135789530892958,0.00011288238097890125,0.00020800421765475516,0.0002480330329299461,0.0009365141955835962,0.00022324872569692194,0.00011825070174366628,0.00021257291094903787,0.00024888895638654196,0.0,-1.89083038799236e-06,-5.36832076476503e-06,-4.568693294282702e-06,-8.559234565958776e-07,0.0009365141955835962
raw,5104.0,117,3,4.214349334520509e-05,3.5946652514417354e-05,4.158797614577226e-05,4.34495779115639e-05,0.023117113564668768,4.1376641363450045e-05,3.67520601320985e-05,4.129262394801371e-05,4.252361519869223e-05,0.0,7.668519817550422e-07,-8.054076176811483e-07,2.9535219775855007e-07,9.259627128716701e-07,0.023117113564668768
raw,5104.0,199,4,1.6235163535155435e-05,1.3582430268745197e-05,1.5521259664285068e-05,1.6827303753567245e-05,0.01072336137399229,1.64456158861063e-05,1.394640823153481e-05,1.6198475173568742e-05,1.733481510144323e-05,0.0,-2.1045235095086572e-07,-3.63977962789614e-07,-6.772155092836742e-07,-5.075113478759858e-07,0.01072336137399229
raw,5104.0,250,4,5.4827596146557675e-06,2.7505305348703435e-06,5.7472519662955345e-06,5.44976052819289e-06,0.07790593235191028,4.454710253319149e-06,2.6847895915311203e-06,4.448677800787826e-06,4.7637302647296845e-06,0.0,1.0280493613366185e-06,6.574094333922318e-08,1.298574165507708e-06,6.860302634632051e-07,0.07790593235191028
