fips,event,n_events
19049,2018-01-16;2019-02-24;2021-12-15;2024-01-12;2024-06-26,5
19051,2024-01-12,1
19059,2018-01-16;2021-12-15;2024-01-12,3
19063,2019-02-20;2019-02-24;2019-11-27;2024-01-12,4
19069,2019-02-20;2019-02-24;2024-01-12,3
19073,2018-01-16;2019-02-20;2019-02-24;2021-12-15;2024-01-12,5
19075,2019-02-20;2019-02-24;2024-01-12,3
19077,2018-01-16;2019-02-24;2021-12-15;2024-01-12,4
19083,2019-02-20;2019-02-24;2024-01-12;2024-05-08,4
19087,2021-12-15;2024-01-12,2
19091,2018-10-11;2019-02-24;2019-11-27;2021-12-15;2024-01-12,5
19095,2024-01-12,1
19099,2024-01-12,1
19101,2021-12-15;2024-01-12,2
19103,2021-12-15;2024-01-12;2024-06-26,3
19105,2019-02-24;2021-12-15;2024-01-12,3
19107,2024-01-12,1
19111,2019-02-24;2019-11-27;2021-12-15,3
19115,2019-11-27;2024-01-12,2
19117,2024-01-12;2024-06-26,2
19119,2018-10-11;2024-01-12,2
19121,2018-01-16;2024-01-12;2024-06-26,3
19123,2024-01-12,1
19125,2024-01-12,1
19127,2024-01-12;2024-05-08,2
19133,2024-01-12,1
19135,2024-01-12,1
19137,2019-02-20;2021-12-15;2024-01-12,3
19139,2019-02-24;2021-12-15;2024-01-12;2024-06-26,4
19141,2021-12-15;2024-01-12,2
19143,2024-01-12,1
19149,2018-10-11;2021-12-15;2024-01-12,3
19151,2019-02-24;2019-11-27;2021-12-15;2024-01-12,4
19153,2024-01-12,1
19157,2024-01-12,1
19159,2018-01-16;2021-12-15;2024-01-12;2024-06-26,4
19161,2019-02-24;2021-12-15;2024-01-12;2024-05-26,4
19163,2019-02-24;2021-12-15;2024-01-12;2024-06-26,4
19167,2018-10-11;2024-01-12,2
19169,2018-01-16;2019-02-24;2024-01-12;2024-05-08,4
19171,2024-01-12,1
19177,2024-01-12;2024-06-26,2
19179,2024-01-12,1
19181,2024-01-12;2024-06-26,2
19185,2024-01-12;2024-06-26,2
19187,2019-02-24;2019-11-27;2021-12-15;2024-01-12,4
19193,2021-02-15;2021-12-15;2024-01-12,3
20005,2021-02-15;2021-12-15,2
20007,2021-12-15,1
20009,2021-12-15,1
20013,2021-12-15,1
20015,2021-12-15,1
20017,2021-12-15,1
20019,2021-02-15,1
20023,2021-12-15,1
20027,2021-12-15,1
20035,2021-12-15,1
20039,2021-12-15,1
20041,2021-12-15,1
20043,2021-02-15;2021-12-15,2
20045,2021-12-15,1
20051,2021-12-15,1
20053,2021-12-15,1
20055,2021-12-15,1
20061,2021-12-15,1
20063,2021-12-15,1
20065,2021-12-15,1
20067,2021-12-15,1
20069,2021-12-15,1
20071,2021-02-15;2021-12-15,2
20073,2021-12-15,1
20075,2021-12-15,1
20079,2021-12-15,1
20081,2021-12-15,1
20083,2021-12-15,1
20085,2021-12-15,1
20087,2021-12-15,1
20089,2021-12-15,1
20091,2021-02-15;2021-12-15,2
20095,2021-12-15,1
20101,2021-12-15,1
20103,2021-02-15;2021-12-15,2
20107,2021-02-15,1
20109,2021-12-15,1
20111,2021-12-15,1
20113,2021-12-15,1
20115,2021-12-15,1
20117,2021-12-15,1
20121,2021-02-15;2021-12-15,2
20125,2019-11-27,1
20127,2021-12-15,1
20129,2021-12-15,1
20131,2021-12-15,1
20133,2021-12-15,1
20135,2021-12-15,1
20137,2021-12-15,1
20139,2021-12-15,1
20141,2021-12-15,1
20143,2021-12-15,1
20147,2021-12-15,1
20149,2019-02-20;2021-12-15,2
20151,2021-12-15,1
20153,2021-02-15;2021-12-15,2
20155,2021-12-15,1
20157,2021-12-15,1
20159,2021-12-15,1
