model,seed,company,mse_path,mse_1h,mse_6h,mse_24h,oob
ASYM_STEP_ONLY,5101,23,1.7845726388656296e-05,1.0578418209288786e-05,1.7844535791023457e-05,1.8971657231911376e-05,0.0
ASYM_STEP_ONLY,5101,25,0.0004653732096859047,0.0003243821274094139,0.00046556814822605954,0.0004797186208828684,0.0
ASYM_STEP_ONLY,5101,26,5.1537897961391596e-05,3.122300881903836e-05,5.019219938714707e-05,5.5634432638824115e-05,0.0
ASYM_STEP_ONLY,5101,27,0.00010256189100152534,4.809295889389322e-05,9.744322322956678e-05,0.00011535392879669855,0.0
ASYM_STEP_ONLY,5101,28,2.79506117804886e-05,1.5738219526924438e-05,2.6670455537299214e-05,3.115812069866577e-05,0.0
ASYM_STEP_ONLY,5101,36,0.00013289756227368859,6.441156049584156e-05,0.00013364292555816638,0.00014291020122528042,0.0
ASYM_STEP_ONLY,5101,37,6.21159333804684e-05,6.107418316515067e-05,6.286888032864461e-05,6.133799534155676e-05,0.0
ASYM_STEP_ONLY,5101,38,0.00015520828322656668,0.00012612429262071154,0.00015426359308477657,0.00016052779031835047,0.0
ASYM_STEP_ONLY,5101,41,5.000722929580133e-05,3.0125487269112534e-05,4.916949545550416e-05,5.3904662952327974e-05,0.0
ASYM_STEP_ONLY,5101,42,0.00011829281925700062,8.558325681609128e-05,0.0001207954961856065,0.00011604407642068875,0.0
ASYM_STEP_ONLY,5101,43,4.691668775701727e-05,3.826143483162812e-05,4.7443836898767924e-05,4.702333002871862e-05,0.0
ASYM_STEP_ONLY,5102,2,0.00020475723646521678,0.00012130065327800718,0.00019776624889057188,0.0002235721918455903,0.0
ASYM_STEP_ONLY,5102,3,4.118044189038761e-05,3.7153889796237107e-05,4.0995313239020574e-05,4.230083637396297e-05,0.0
ASYM_STEP_ONLY,5102,4,1.0858673817228415e-05,8.61018669417272e-06,1.0711535459460935e-05,1.1413295999111448e-05,0.0
ASYM_STEP_ONLY,5102,7,0.0011757262449424806,0.0007301605621100546,0.001220346281451804,0.001210149206992573,0.0
ASYM_STEP_ONLY,5102,22,4.166747915586698e-05,3.413361951870393e-05,4.2434240825875105e-05,4.003681763043667e-05,0.0
ASYM_STEP_ONLY,5102,23,1.7560555078500438e-05,1.0274828588788216e-05,1.7389250709461376e-05,1.8642395251773333e-05,0.0
ASYM_STEP_ONLY,5102,25,0.00046198306115989086,0.0003221644991153491,0.00046282194665674077,0.00047207834671527207,0.0
ASYM_STEP_ONLY,5102,26,5.130286676911122e-05,2.9925516739596373e-05,4.9904087078630936e-05,5.528704213392555e-05,0.0
ASYM_STEP_ONLY,5102,27,0.00010260191954495902,4.7246969779697886e-05,9.743952852586499e-05,0.00011548045709640849,0.0
ASYM_STEP_ONLY,5102,28,2.7911458612110647e-05,1.5510201399561076e-05,2.6651192448964113e-05,3.112142145228245e-05,0.0
ASYM_STEP_ONLY,5102,36,0.00013207270370535666,6.299855070145748e-05,0.000130906034669147,0.00014277153247018397,0.0
ASYM_STEP_ONLY,5102,37,6.211509754842951e-05,6.191860317089363e-05,6.279556203099337e-05,6.132739362387754e-05,0.0
