seed,fold,unit,event,fips,rmse_own,rmse_donor_median,percentile,donor_sd,rmse_donor_min,rmse_donor_max
0,4,1948,2022-06-08,24009,0.0028696875,0.002866169437766075,0.87,3.1956819839251693e-06,0.002859159605577588,0.002870656084269285
0,4,1951,2022-06-08,24027,0.002600578,0.0026059651281684637,0.29,1.0413162272016052e-05,0.0025939594488590956,0.00262822094373405
0,4,1956,2022-06-08,26159,0.002006525,0.001985015347599983,0.865,1.2516104106907733e-05,0.0019694315269589424,0.0020096853841096163
0,4,1959,2022-06-08,27113,0.0021200492,0.002082782331854105,0.585,0.0001510600559413433,0.0019357913406565785,0.002396239433437586
0,4,1960,2022-06-08,28011,0.008801644,0.008801799267530441,0.035,2.8914180916217447e-07,0.008801610209047794,0.008802715688943863
0,4,1967,2022-06-08,28067,0.008439046,0.008444605395197868,0.005,2.909955128416186e-06,0.008439011871814728,0.00844732765108347
0,4,1974,2022-06-08,28147,0.01627555,0.01626281812787056,0.95,6.4098971961357165e-06,0.01625390164554119,0.016276217997074127
0,4,1976,2022-06-08,28151,0.010569373,0.010570714250206947,0.335,2.0083134586457163e-06,0.010564933530986309,0.010573512874543667
0,4,1983,2022-06-08,29047,0.03785023,0.037850283086299896,0.49,6.620427029702114e-06,0.03783944249153137,0.037862781435251236
0,4,1985,2022-06-08,29053,0.004925011,0.004937372170388699,0.025,4.467426606424851e-06,0.004924402572214603,0.004943649750202894
0,4,1988,2022-06-08,29087,0.0053812712,0.005357232876121998,0.71,3.496216959320009e-05,0.0053014131262898445,0.005431195255368948
0,4,1992,2022-06-08,29125,0.024412923,0.024412110447883606,0.615,2.031325493589975e-06,0.024406922981142998,0.02441508136689663
0,4,1994,2022-06-08,29139,0.0046609165,0.004642060026526451,0.745,1.5498002539970912e-05,0.004621407948434353,0.004669799469411373
0,4,1996,2022-06-08,29161,0.004668314,0.004666951484978199,0.65,6.036249487806344e-06,0.0046503194607794285,0.004677894990891218
0,4,2000,2022-06-08,29225,0.0017546641,0.0017669881926849484,0.21,1.2297454304643907e-05,0.0017370928544551134,0.0017809404525905848
0,4,2001,2022-06-08,30003,0.053483557,0.05349229276180267,0.165,9.731181307870429e-06,0.05347919836640358,0.053511109203100204
0,4,2006,2022-06-08,32007,0.0008193125,0.0008235478890128434,0.33,9.935010893968865e-06,0.0008139388519339263,0.0008450843743048608
0,4,2011,2022-06-08,32021,0.012297743,0.012298066169023514,0.25,4.534251445420523e-07,0.012297463603317738,0.01229897141456604
0,4,2012,2022-06-08,32027,0.0014482978,0.0014687047805637121,0.115,1.9277780666016042e-05,0.001443231012672186,0.0015058250864967704
0,4,2019,2022-06-08,34029,0.003774247,0.003495318815112114,0.955,0.00013619301898870617,0.003338080830872059,0.0037927848752588034
0,4,2023,2022-06-08,35031,0.00061726087,0.0006192390574142337,0.37,4.154615908191772e-06,0.0006148209795355797,0.0006276174681261182
0,4,2026,2022-06-08,35047,0.0053154747,0.0053205303847789764,0.36,1.773614167177584e-05,0.0053047435358166695,0.005356894340366125
0,4,2027,2022-06-08,35051,0.0011940819,0.0011951187625527382,0.185,1.411136622664344e-06,0.0011936492519453168,0.0011978026013821363
0,4,2031,2022-06-08,37013,0.0025266856,0.0025208136066794395,0.825,6.341321295622038e-06,0.002507544122636318,0.00253460556268692
0,4,2032,2022-06-08,37023,0.0013710847,0.0013717524707317352,0.475,6.061648946342757e-06,0.001363507006317377,0.0013812313554808497
0,4,2034,2022-06-08,37051,0.0030464446,0.0030024638399481773,0.835,2.3993443392100744e-05,0.002985121216624975,0.003053205320611596
