seed,fold,variant,n_units,mean_dlogit,mean_abs_dlogit,mean_dlogit_h72_95,mean_dlogit_h168_215,mean_dp,max_dp,share_units_dp_gt_1pp,mean_p_open,mean_p_closed
2,3,path from hour 0,546,0.003618992632254958,0.010478268377482891,0.0016903082141652703,0.005380747374147177,-2.1608660972560756e-05,0.0002504760632291436,0.0,0.0011532267089933157,0.0011748354882001877
2,4,path from hour 72 (as trained),529,-0.050642065703868866,0.05986848101019859,-0.0045210993848741055,-0.08098886162042618,-0.00014160116552375257,0.0004867521347478032,0.0,0.0011337556643411517,0.001275356626138091
2,4,path from hour 0,529,-0.005789062939584255,0.008272008039057255,-0.00048580707516521215,-0.010364875197410583,-4.2131036025239155e-05,7.64923170208931e-05,0.0,0.0016038095345720649,0.00164594070520252
2,5,path from hour 72 (as trained),532,-0.03381210193037987,0.04933587834239006,-0.004501846618950367,-0.050921469926834106,-0.00013655445945914835,0.0005131817888468504,0.0,0.0010050882119685411,0.0011416426859796047
2,5,path from hour 0,532,-0.0031210724264383316,0.007256906945258379,0.00014961688430048525,-0.006236170884221792,-3.4379878343315795e-05,7.71000050008297e-05,0.0,0.001320861978456378,0.0013552418677136302
3,1,path from hour 72 (as trained),542,0.007032737601548433,0.011735501699149609,0.0009917798452079296,0.010323469527065754,5.4580676078330725e-05,0.03702714294195175,0.005535055350553505,0.0019020470790565014,0.0018474663374945521
3,1,path from hour 0,542,-0.0003458521096035838,0.0029997495003044605,-0.00031167466659098864,-0.0003022293094545603,8.849390724208206e-06,0.005250014364719391,0.0,0.001976163126528263,0.001967313699424267
3,2,path from hour 72 (as trained),511,-0.01796077750623226,0.026354758068919182,-0.0007246387540362775,-0.028370806947350502,2.071992867058725e-06,0.0012965351343154907,0.0,0.001750277471728623,0.0017482052790001035
3,2,path from hour 0,511,-0.008575898595154285,0.009489787742495537,-0.0028963040094822645,-0.013406950980424881,-7.640200578862277e-07,7.3261559009552e-05,0.0,0.001716101891361177,0.0017168659251183271
3,3,path from hour 72 (as trained),546,-0.014671023003757,0.015147173777222633,-0.001556085771881044,-0.02451489493250847,-2.166336344089359e-06,0.00021929293870925903,0.0,0.001778987585566938,0.0017811543075367808
3,3,path from hour 0,546,-0.004925791174173355,0.005777367856353521,-0.001898011309094727,-0.007740780711174011,-5.1457976724123e-07,0.00012134294956922531,0.0,0.0018341732211411,0.001834687776863575
