gamma,rho,n,validation_n,design,rule,replications,delta,MC_halfwidth,MC_dof,common_component_difference,NET_excluded_component_error,structural_signal,partition_identity_error,max_ASYM_affine_residual,NET_common_bias_squared,NET_common_variance,ASYM_common_bias_squared,ASYM_common_variance,NET_excluded_bias_squared,NET_excluded_variance,common_bias_difference,common_variance_difference,component_ensemble_partition_error,NET_risk,NET_ensemble_bias_squared,NET_ensemble_variance,NET_oob_fraction,ASYM_risk,ASYM_ensemble_bias_squared,ASYM_ensemble_variance,ASYM_oob_fraction
0.0,0.25,512,128,training_support,original_early_stop,30,1.568258931961177e-06,2.7385300062629566e-06,14.634651599103496,1.2984632725983393e-06,2.697956593628451e-07,5.558599319878379e-34,4.319868030996932e-20,5.279268533442405e-08,1.3392654673597332e-06,5.486725117122969e-06,1.7834020877586247e-06,3.7441252240395394e-06,1.826170192488395e-07,8.717864011400559e-08,-4.441366203988915e-07,1.7425998930834293e-06,8.620571941562235e-17,7.095786243845545e-06,1.5218824866085726e-06,5.5739037572369745e-06,0.0,5.527527311884368e-06,1.7834020877618672e-06,3.744125224122498e-06,0.0
0.0,0.25,512,128,training_support,fixed_3000_ablation,30,2.8202300177484566e-06,1.4232300469663136e-05,19.649100890796422,2.683580031375255e-06,1.366499863731915e-07,5.558599319878379e-34,1.7618285302889447e-19,5.066394809238872e-08,1.1453814665850111e-06,2.0077277688113804e-05,8.875759816167862e-07,1.765150314162788e-05,7.399489467109242e-08,6.265509170209909e-08,2.578054849682249e-07,2.4257745464859237e-06,7.888333134484574e-17,2.135930914107201e-05,1.2193763612561093e-06,2.0139932779815903e-05,0.002951388888888889,1.8539079123323555e-05,8.875759816200596e-07,1.76515031417035e-05,0.0
0.0,0.25,512,128,initial_state_interpolation,original_early_stop,30,2.0858142591195877e-06,2.8071618152455558e-06,14.269447311126022,2.0522473520090428e-06,3.356690711046257e-08,7.092909402974666e-33,5.285485590866834e-19,4.8239352457013496e-08,1.720985598992094e-06,5.41614117485192e-06,1.5455931770138697e-06,3.5392862447414226e-06,2.120154135438696e-08,1.236536575607561e-08,1.7539242197822435e-07,1.8768549301104971e-06,7.959653308643386e-17,7.170693680954483e-06,1.7421871403464894e-06,5.42850654060799e-06,0.0,5.084879421834894e-06,1.5455931770170501e-06,3.539286244817843e-06,0.0
0.0,0.25,512,128,initial_state_interpolation,fixed_3000_ablation,30,2.9961415422893254e-06,1.4382804240657844e-05,19.449506755483863,2.979516437536603e-06,1.6625104752794326e-08,7.092909402974666e-33,1.4907779871675686e-18,5.379571743624467e-08,1.457154349912168e-06,1.9779088409523712e-05,7.092594759474989e-07,1.7547466845863765e-05,7.698093106868448e-09,8.92701164592588e-09,7.478948739646691e-07,2.2316215636599466e-06,8.808507376734283e-17,2.1252867864188655e-05,1.4648524430190374e-06,1.978801542116961e-05,0.002777777777777778,1.8256726321899332e-05,7.092594759490323e-07,1.7547466845950295e-05,0.0
0.0,1.0,32,8,training_support,original_early_stop,30,-6.16721256656323e-06,1.5701071595896662e-05,18.29480844071379,-8.652410648868052e-06,2.4851980823048382e-06,5.558599319878379e-34,2.0794658855093073e-19,5.534717018029767e-08,4.506424210545786e-06,5.9830028736423195e-05,1.1304659739867968e-05,6.168420385589023e-05,6.374855930257561e-07,1.8477124892790823e-06,-6.7982355293221825e-06,-1.8541751194670362e-06,7.885029705990282e-17,6.682165102927381e-05,5.143909803571531e-06,6.167774122570229e-05,0.0109375,7.298886359583704e-05,1.1304659739871068e-05,6.168420385596596e-05,0.0
0.0,1.0,32,8,training_support,fixed_3000_ablation,30,3.5840680604424506e-05,3.5251510219413064e-05,20.796396312410394,2.569788133222795e-05,1.0142799272196593e-05,5.558599319878379e-34,2.981555974335137e-19,4.9386705669451914e-08,6.676749357400857e-06,9.52804298117447e-05,6.745118518593571e-06,6.951417931823878e-05,5.199985330728318e-07,9.622800739123762e-06,-6.836916119271386e-08,2.5766250493505926e-05,8.529960592029706e-17,0.00011209997844134217,7.1967478904736896e-06,0.0001049032305508685,0.02048611111111111,7.625929783691766e-05,6.7451185185958585e-06,6.951417931832181e-05,0.0
0.0,1.0,32,8,initial_state_interpolation,original_early_stop,30,-4.9106282670739834e-06,1.5120251205680971e-05,16.369366229999642,-5.247868999186769e-06,3.37240732112459e-07,7.092909402974666e-33,1.8905775382715984e-18,4.748166607115856e-08,6.559327669057641e-06,5.465353858681447e-05,1.0948826466689708e-05,5.55119087882843e-05,8.088339607993387e-08,2.5635733603252524e-07,-4.389498797632067e-06,-8.583702014698321e-07,8.454320549839897e-17,6.155010698798454e-05,6.6402110651375905e-06,5.490989592284696e-05,0.010590277777777778,6.646073525505854e-05,1.0948826466693211e-05,5.5511908788365326e-05,0.0
0.0,1.0,32,8,initial_state_interpolation,fixed_3000_ablation,30,3.023708223288946e-05,3.798287814659168e-05,21.5496868006652,2.866083744068533e-05,1.576244792203893e-06,7.092909402974666e-33,2.3310346708438345e-18,6.490844783879623e-08,8.147057015185611e-06,8.916549759247768e-05,6.299271180150677e-06,6.23524459867368e-05,7.197957008076473e-08,1.5042652221231283e-06,1.847785835034934e-06,2.6813051605740882e-05,9.024966646405119e-17,9.888879939986711e-05,8.21903658526638e-06,9.066976281460073e-05,0.02013888888888889,6.865171716697766e-05,6.29927118015289e-06,6.235244598682474e-05,0.0
0.0,1.0,128,32,training_support,original_early_stop,30,2.5352577406587084e-06,1.0292546973660203e-05,21.247869848556192,1.482323055743913e-06,1.052934684914797e-06,5.558599319878379e-34,1.4907779871675686e-19,5.4495675250176845e-08,2.545837871246632e-06,2.8781925482266992e-05,4.938503188700187e-06,2.4906937108990648e-05,1.6201890146763003e-07,8.909157834471672e-07,-2.3926653174535546e-06,3.874988373276344e-06,7.887824914716221e-17,3.238069803842843e-05,2.7078567727142676e-06,2.9672841265714165e-05,0.0005208333333333333,2.9845440297769723e-05,4.938503188703081e-06,2.490693710906664e-05,0.0
0.0,1.0,128,32,training_support,fixed_3000_ablation,30,-9.962878530766156e-07,1.5494080889432137e-05,18.391310445227926,-2.349388304794552e-06,1.353100451717944e-06,5.558599319878379e-34,2.168404344971009e-19,5.534717018029767e-08,1.3390031053609613e-06,3.312838984600557e-05,1.249908478828332e-06,3.5566872777260184e-05,6.472123237322963e-08,1.2883792193447144e-06,8.909462653262926e-08,-2.438482931254617e-06,7.257187709661713e-17,3.5820493403084475e-05,1.4037243377341924e-06,3.4416769065350293e-05,0.0015625,3.681678125616109e-05,1.2499084788326503e-06,3.556687277732845e-05,0.0
